ID	name	type	gender	AreaID
245944	Larry Bastian	Other	Other	\N
311945	Tommy Wildcat	Other	Other	\N
177295	Underground Family	Group	Other	\N
302340	Hans Ourdine	Person	Other	\N
933594	Heart Attack Alley	Other	Other	\N
302115	Calle 8	Other	Other	\N
302143	Energyze	Other	Other	\N
302144	X-Tacy	Other	Other	\N
302145	Bass Incorporated	Other	Other	\N
350151	Bà B?	Group	Other	\N
567394	Moana	Group	Other	73
803298	Allegro	Group	Other	105
410381	Al Philip Iere Syncapotors	Other	Other	\N
303325	????	Group	Other	107
331957	Kumm	Group	Other	175
319379	Amen	Group	Other	202
376072	Chris Schneider	Person	Other	\N
302188	Yaguaré	Other	Other	\N
378932	Xclusive Cuban Brothers	Group	Other	\N
300813	Altos Louvores	Other	Other	\N
365285	Gokk	Person	Other	\N
299839	Michael Wells	Person	Other	\N
300973	John Tams Band	Other	Other	\N
438508	Pyjaman	Person	Other	\N
299841	Magnified Eye	Other	Other	\N
365284	Korny	Person	Other	\N
447956	???	Person	Other	\N
711228	Nigel Piper	Person	Other	\N
300975	The Yetties	Other	Other	\N
490010	DJ Twixx and [VLLN]	Group	Other	\N
166792	Blue Sonix	Person	Male	\N
302190	Papel & Lápiz	Other	Other	\N
299845	Johnny Wizard	Other	Other	\N
299846	Anymaniac	Other	Other	\N
299847	Donald Gorgonald	Other	Other	\N
717702	Diogo Vasconcellos	Person	Other	\N
302191	Los de Tepito	Other	Other	\N
302192	Karo's	Other	Other	\N
302193	Pikín y La Nueva 7ma	Other	Other	\N
305409	Al Schmitt	Person	Male	\N
851853	???	Person	Other	107
389405	Alf Clausen	Person	Male	222
933561	Niels Ratzer	Person	Other	\N
989899	86	Person	Male	13
302194	Karla Jireth	Other	Other	\N
496337	Michiel Cornelisse	Person	Other	\N
302460	Fernando Cester	Other	Other	\N
400586	Joy Parker	Person	Other	\N
480668	Roy Salmond	Person	Other	\N
54671	The Hogs	Group	Other	\N
367946	Composition	Other	Other	\N
526235	Rebecca Lomnicky	Person	Other	\N
302119	Maranatha! Worship Team	Other	Other	\N
302359	DevonMiles	Group	Other	\N
999628	Carol Dawson	Other	Other	\N
302705	K.K. Warslut	Person	Other	\N
302062	Zema	Person	Other	\N
308464	Denette Hoover & Sherwood Ball	Other	Other	\N
418246	Des Airs	Other	Other	\N
649315	Bandy Leggz	Other	Other	\N
884605	Hank Jones Quartet	Group	Other	222
412732	Trip Khalaf	Person	Other	\N
296964	The Figments	Group	Other	\N
296963	That Cat	Group	Other	\N
296950	Todd McMurray	Person	Other	\N
296945	Tony Westcott	Person	Other	\N
711991	DJ THUNDER3	Other	Other	\N
849500	Lenny Dean & The Rockin' Chairs	Other	Other	\N
613963	Ptarkh	Other	Other	\N
301231	Mixmaster G and the Turntable Orchestra	Other	Other	\N
738603	Alexander Zayas	Person	Other	\N
296937	The Greenbergs	Group	Other	\N
613995	UKZ	Group	Other	\N
296929	Sourpuss	Group	Other	\N
296934	Sourpuss	Group	Other	\N
331315	Russell Jones	Person	Other	\N
301713	Melissa Swift-Sawyer	Other	Other	\N
226386	The Quantum Dots	Other	Other	\N
1008050	fAbia	Group	Other	\N
302704	Bullet Eater	Person	Other	\N
302172	leep27	Other	Other	\N
933595	Anna Noakes	Person	Female	\N
301311	Borderlands of Harmony	Group	Other	\N
689330	George Usher Group	Group	Other	\N
616106	Elena	Group	Other	\N
343301	Dan Wyman	Person	Other	\N
302195	Evan Earwicker & Whitney Stern	Other	Other	\N
302360	Yy	Person	Other	\N
308530	Golden Queens	Other	Other	\N
228604	Albert Collins & The Heartbreakers	Group	Other	\N
135120	Paul St. Hilaire	Person	Male	59
180154	Scandaliz Vandalistz	Group	Other	\N
302122	Porpartes	Other	Other	\N
459277	Carsten Jung	Person	Other	\N
296986	Berko and Benson	Group	Other	\N
296985	Brian Todd	Person	Other	\N
254886	Orazio Benevoli	Person	Other	\N
746520	Warp Four	Group	Other	\N
