ID	name	count
485	albany	8
35735	christian hip hop	1
487	518	1
488	romanian	85
52620	halloween music	0
494	collegiate acapella	4
497	university of pennsylvania	1
35560	rick	1
499	you wouldn t believe	1
500	311	1
33912	nightmare on elm street	1
35736	music publishing company	1
33913	band of the hand	1
35561	atha	1
35737	hip hop music publishing company	1
510	skinhead	3
511	cajun	19
512	rock inde	1
513	gilbert becaud c est en septembre	2
515	metal fusion	1
31344	christmas country	2
35738	christian music publishing company	1
5240	puerto rico	31
520	belly dance	2
521	pistoia	1
522	jurisdicktion	1
35739	christian hip hop recording company	1
524	ocremix	3
525	singaporean	2
526	dj-mix	3
531	symphony orchestra	1
534	garage punk	10
538	crank dat	1
543	fiddler	4
639	austropop	345
31445	yoso	1
631	bonn	5
33214	hey papi	1
549	????? hebrew	1
550	college marching band	1
31390	has homepage	25
678	musician	18
52621	circus music	0
599	covered by 5	92
690	keyboards	11
608	compilation	102
32234	ivoryline christian rock emo	1
563	groove rock	1
576	denmark	55
22974	30bpm	27
566	fingerstyle	17
572	copenhagen records	5
573	dk	5
574	københavn	2
575	copenhagen	5
643	multi-instrumentalist	4
35397	dorchester	1
646	nottingham	17
579	aarhus	1
580	copenhagen records 2005	1
581	rasta	2
661	pianist	70
585	reissue	4
586	fence	1
588	fairuz	1
34727	perfect beauty	1
558	kpop	45
52622	horror music	0
650	comedian	18
606	original	5
597	holding	1
598	smooth-jazz	1
591	ukranian	4
52623	rpg music	0
32393	spectralism	3
22967	23bpm	9
605	video game	83
583	actress	30
638	austrian	103
577	danmark	5
29891	nick cave	2
610	nepali	1
611	tagged	1
612	split me	1
615	san sebastian	2
616	donosti	2
35208	electronica new age	1
31368	delunes	1
619	tragedie	1
620	cool title	1
621	http musicbrainz org track a1858f04-d130-48aa-86e4-11a0d12a26e5 html curtain falls	1
33671	musician alternative	1
624	engineer	74
625	probably duplicate	1
626	uk label	1
708	psybient	12
677	india	29
629	impaled nazarene manifest nuclear black metal	1
