ID	RecordingID	MediumID	Position
334653	390188	1139520	4
334663	390189	694	5
334672	390189	287981	5
334690	390189	287982	5
334681	390189	350676	5
334699	390189	1043221	5
334654	390189	1139520	5
334666	390192	694	8
334675	390192	287981	8
334693	390192	287982	8
334684	390192	350676	8
334702	390192	1043221	8
334657	390192	1139520	8
334709	287408	4560	6
334713	287412	4560	10
334724	390214	206887	5
334727	390217	206887	8
334729	390219	206887	10
334730	390220	206887	11
334745	390235	526049	11
334771	9030889	198373	6
334751	9030889	1169691	6
334776	3547243	198373	11
334756	3547243	1169691	11
334783	390253	198373	18
334763	390253	1169691	18
334791	390261	903515	6
334800	390270	986954	3
334802	390272	986954	5
334808	175084	66546	6
334809	390279	66546	7
334811	175087	66546	9
334813	175090	66546	11
334818	250959	66546	16
334848	390298	97182	9
334838	390298	282055	9
334828	390298	644231	9
334864	390300	10698	1
334850	390300	1303876	1
334868	1442394	10698	5
334854	1442394	1303876	5
334872	390308	10698	9
334858	390308	1303876	9
334874	390310	10698	11
334860	390310	1303876	11
334876	390312	10698	13
334862	390312	1303876	13
334879	390315	875472	2
334889	390351	877901	5
334895	9977467	877901	11
334901	390363	877901	17
334907	390369	45291	5
334909	390371	45291	7
334912	390374	45291	10
334915	390377	182235	2
334924	390377	182236	2
334933	390377	266974	2
334918	390380	182235	5
334927	390380	182236	5
334936	390380	266974	5
334919	390381	182235	6
334928	390381	182236	6
334937	390381	266974	6
334921	390383	182235	8
334930	390383	182236	8
334939	390383	266974	8
334975	390395	468854	11
334963	390395	468855	11
334987	390395	606415	11
334999	390395	679724	11
334951	390395	1197045	11
335002	390398	887323	2
335004	390400	887323	4
335014	390505	712091	6
335029	390519	205929	2
335039	390519	430695	2
335019	390519	1282115	2
335030	390520	205929	3
335040	390520	430695	3
335020	390520	1282115	3
335031	390521	205929	4
335041	390521	430695	4
335021	390521	1282115	4
335034	390524	205929	7
335044	390524	430695	7
335024	390524	1282115	7
335035	390525	205929	8
335045	390525	430695	8
335025	390525	1282115	8
335036	390526	205929	9
335046	390526	430695	9
335026	390526	1282115	9
335048	390528	45030	1
335057	390528	701059	1
335054	211811	45030	7
335063	211811	701059	7
335074	390547	913635	9
335076	390549	280300	1
